Ticker,Date/Time,Open,High,Low,Close,Pivot,R2,S1,R1,S2,R3,S3,ADX,RSI,composite,EMA1,EMA2,ADXs,MACD,Magic
Nifty 90's,31-01-1994,1083.74,1272.87,1082.8,1246.59,,,,,,,,,,,,,,,
Nifty 90's,28-02-1994,1229.93,1349.49,1195.39,1349.49,1200.75,1390.82,1128.64,1318.71,1010.68,1580.89,820.61,,,,,,,,
Nifty 90's,31-03-1994,1304.4,1304.4,1153.84,1177.11,1298.12,1452.22,1246.76,1400.86,1144.02,1606.32,989.92,,,,,,,,
Nifty 90's,29-04-1994,1182.33,1229.7,1147.98,1150.66,1211.78,1362.34,1119.17,1269.73,1061.22,1512.9,910.66,,,,,,,,
Nifty 90's,31-05-1994,1148.76,1210.82,1121.63,1187.19,1176.11,1257.83,1122.53,1204.25,1094.39,1339.55,1012.67,,,,,,,,
Nifty 90's,30-06-1994,1186.06,1318.56,1186.06,1249.44,1173.21,1262.4,1135.61,1224.8,1084.02,1351.59,994.83,,,,1231.29,,,,
Nifty 90's,29-07-1994,1262.06,1278.54,1241.22,1278.54,1251.35,1383.85,1184.15,1316.65,1118.85,1516.35,986.35,,,,1247.04,,,,
Nifty 90's,31-08-1994,1308.08,1373.29,1303.35,1373.29,1266.1,1303.42,1253.66,1290.98,1228.78,1340.74,1191.46,,,,1289.12,,,,
Nifty 90's,30-09-1994,1366.32,1384.94,1290.53,1290.53,1349.98,1419.92,1326.66,1396.6,1280.04,1489.86,1210.1,,,,1289.59,,,,
Nifty 90's,31-10-1994,1304.83,1326.63,1267.21,1267.21,1322,1416.41,1259.06,1353.47,1227.59,1510.82,1133.18,,,,1282.13,,,,
Nifty 90's,30-11-1994,1283.38,1283.38,1208,1245.75,1287.02,1346.44,1247.4,1306.82,1227.6,1405.86,1168.18,,,,1270,,,,
Nifty 90's,23-12-1994,1240.14,1240.14,1136.25,1182.28,1245.71,1321.09,1208.04,1283.42,1170.33,1396.47,1094.95,,,,1240.76,,,,
Nifty 90's,31-01-1995,1182.14,1182.14,1019.2,1071.23,1186.22,1290.11,1132.31,1236.2,1082.33,1394,978.44,,,,1184.25,,,,
Nifty 90's,28-02-1995,1061.76,1076.29,948.97,1014.72,1090.86,1253.8,999.57,1162.51,927.92,1416.74,764.98,,,,1127.74,,,,
Nifty 90's,31-03-1995,1027.68,1060.18,988.53,990.24,1013.33,1140.65,950.36,1077.68,886.01,1267.97,758.69,,29.17,,1081.91,,,,
Nifty 90's,28-04-1995,1005.37,1052.18,941.83,941.83,1012.98,1084.63,965.79,1037.44,941.33,1156.28,869.68,,26.66,,1035.21,,0.58,,
Nifty 90's,31-05-1995,908.64,997.4,908.64,997.4,978.61,1088.96,905.05,1015.4,868.26,1199.31,757.91,,33.72,,1022.61,,0.54,,
Nifty 90's,30-06-1995,1012.16,1016.21,961.23,961.23,967.81,1056.57,938.23,1026.99,879.05,1145.33,790.29,,31.59,,1002.15,,0.59,,
Nifty 90's,31-07-1995,938.5,1040.59,931.33,994.25,979.56,1034.54,942.9,997.88,924.58,1089.52,869.6,,35.6,,999.52,,0.54,,1
Nifty 90's,31-08-1995,993.5,1007.57,967.43,971.74,988.72,1097.98,936.86,1046.12,879.46,1207.24,770.2,,34.13,,990.26,,0.54,,0
Nifty 90's,29-09-1995,971.34,1018.88,960.68,1011.97,982.25,1022.39,956.92,997.06,942.11,1062.53,901.97,,38.97,,997.5,1134.17,0.57,,1
Nifty 90's,31-10-1995,1027.56,1044.31,985.77,988.26,997.18,1055.38,975.47,1033.67,938.98,1113.58,880.78,,37.23,,994.42,1120.28,0.65,,1
Nifty 90's,30-11-1995,1004.59,1004.59,822.54,862.1,1006.11,1064.65,967.92,1026.46,947.57,1123.19,889.03,,29.66,,950.31,1095.69,0.43,,0
Nifty 90's,29-12-1995,867.99,927.6,854.47,908.53,896.41,1078.46,788.23,970.28,714.36,1260.51,532.31,,34.91,38.67,936.38,1077.86,0.43,,0
Nifty 90's,31-01-1996,913.11,913.11,813.12,848.42,896.87,970,866.13,939.26,823.74,1043.13,750.61,,31.62,31.14,907.06,1056.01,0.39,,0
Nifty 90's,29-02-1996,848.28,1067.49,848.28,992.51,858.22,958.21,803.32,903.31,758.23,1058.2,658.24,,45,54.4,935.55,1049.96,0.76,,1
Nifty 90's,29-03-1996,994.66,1010.5,945.07,985.3,969.43,1188.64,871.36,1090.57,750.22,1407.85,531.01,,44.53,64.63,952.13,1043.81,0.76,,1
Nifty 90's,30-04-1996,988.33,1160.16,988.33,1114.36,980.29,1045.72,950.08,1015.51,914.86,1111.15,849.43,,53.82,89.04,1006.21,1050.52,1.18,,1
Nifty 90's,31-05-1996,1141.65,1141.65,1046.95,1089.92,1087.62,1259.45,1015.07,1186.9,915.79,1431.28,743.96,,52.04,90.59,1034.11,1054.28,1.18,,1
Nifty 90's,28-06-1996,1098.18,1203.11,1098.18,1122,1092.84,1187.54,1044.03,1138.73,998.14,1282.24,903.44,,54.18,92.5,1063.41,1060.73,1.37,,1
Nifty 90's,31-07-1996,1121,1127.08,999.03,1042.81,1141.1,1246.03,1079.08,1184.01,1036.17,1350.96,931.24,23.13,48.44,75.83,1056.54,1059.02,1.02,,0
Nifty 90's,30-08-1996,1047.47,1054.29,968.76,1029,1056.31,1184.36,985.53,1113.58,928.26,1312.41,800.21,21.69,47.49,71.83,1047.36,1056.16,0.94,,0
Nifty 90's,30-09-1996,1028.91,1046.51,932.27,943.96,1017.35,1102.88,980.41,1065.94,931.82,1188.41,846.29,20.7,42.05,42.2,1012.89,1045.48,0.86,,0
Nifty 90's,31-10-1996,944.51,956.45,850.52,909.29,974.25,1088.49,901.98,1016.22,860.01,1202.73,745.77,20.48,40.03,34,978.36,1032.51,0.7,,0
Nifty 90's,29-11-1996,910.32,915.39,822.17,830.32,905.42,1011.35,854.39,960.32,799.49,1117.28,693.56,20.5,35.82,6.09,929.01,1013.25,0.66,,0
Nifty 90's,31-12-1996,830.48,922.1,775.43,899.1,855.96,949.18,796.53,889.75,762.74,1042.4,669.52,20.88,41.59,19.44,919.04,1002.38,0.59,-5.69,0
Nifty 90's,31-01-1997,905.2,1085.75,905.2,972.65,865.54,1012.21,808.99,955.66,718.87,1158.88,572.2,19.49,47.06,31.42,936.91,999.55,0.97,-0.84,1
Nifty 90's,28-02-1997,967.9,1024.3,944.2,998.65,987.87,1168.42,889.98,1070.53,807.32,1348.97,626.77,18.21,48.88,55.15,957.49,999.46,0.97,4.32,1
Nifty 90's,31-03-1997,1070.8,1167.95,966.8,968.3,989.05,1069.15,953.8,1033.9,908.95,1149.25,828.85,17.99,46.85,54.94,961.09,996.49,1.36,5.81,1
Nifty 90's,30-04-1997,931.95,1088.4,931.5,1079.85,1034.35,1235.5,900.75,1101.9,833.2,1436.65,632.05,17.45,54.35,73.48,1000.68,1004.43,1.23,13.96,1
Nifty 90's,30-05-1997,1074.7,1074.7,1018.15,1050.9,1033.25,1190.15,978.1,1135,876.35,1347.05,719.45,16.95,52.29,71,1017.42,1008.86,1.23,16.87,1
Nifty 90's,30-06-1997,1053.05,1194.75,1051.05,1192.4,1047.92,1104.47,1021.13,1077.68,991.37,1161.02,934.82,17.39,60.23,94.69,1075.75,1026.34,1.6,27.17,1
Nifty 90's,31-07-1997,1201.3,1252.7,1153.75,1221.5,1146.07,1289.77,1097.38,1241.08,1002.37,1433.47,858.67,18.17,61.64,100.72,1124.33,1044.92,1.79,34.32,1
Nifty 90's,29-08-1997,1224.4,1297.1,1098.9,1105,1209.32,1308.27,1165.93,1264.88,1110.37,1407.22,1011.42,18.3,53.45,90.33,1117.89,1050.65,1.5,29.77,1
Nifty 90's,30-09-1997,1105.45,1168.35,1079.6,1123.8,1167,1365.2,1036.9,1235.1,968.8,1563.4,770.6,18.22,54.5,74.53,1119.86,1057.61,1.41,26.68,0
Nifty 90's,30-10-1997,1123.45,1192,1028.2,1085.25,1123.92,1212.67,1079.48,1168.23,1035.17,1301.42,946.42,17.6,51.91,50.51,1108.32,1060.25,1.21,20.95,0
Nifty 90's,28-11-1997,1085.75,1097.05,971.2,1023.95,1101.82,1265.62,1011.63,1175.43,938.02,1429.42,774.22,16.46,48.01,37.74,1080.2,1056.79,1.03,12.37,0
Nifty 90's,31-12-1997,1023.85,1083.35,943,1079.4,1030.73,1156.58,964.42,1090.27,904.88,1282.43,779.03,15.43,51.56,42.71,1079.93,1058.94,0.96,9.86,0
Nifty 90's,30-01-1998,1078.95,1102.15,929.05,963.45,1035.25,1175.6,987.15,1127.5,894.9,1315.95,754.55,14.37,44.69,23.4,1041.1,1049.85,1.01,0.34,0
Nifty 90's,27-02-1998,963.45,1064.15,949.65,1060.75,998.22,1171.32,894.28,1067.38,825.12,1344.42,652.02,13.38,50.63,41.06,1047.65,1050.89,1.01,0.54,0
Nifty 90's,31-03-1998,1060.9,1156.7,1046.75,1116.9,1024.85,1139.35,985.55,1100.05,910.35,1253.85,795.85,13.37,53.72,41.48,1070.74,1057.17,1.31,4.17,1
Nifty 90's,30-04-1998,1117.15,1247.15,1117.15,1159.35,1106.78,1216.73,1056.87,1166.82,996.83,1326.68,886.88,14.1,55.97,58.58,1100.27,1066.9,1.62,8.9,1
Nifty 90's,29-05-1998,1159.8,1196.7,1037.95,1063.15,1174.55,1304.55,1101.95,1231.95,1044.55,1434.55,914.55,13.89,50.05,56.76,1087.9,1066.55,1.25,5.19,0
Nifty 90's,30-06-1998,1064.1,1100,853.05,941.65,1099.27,1258.02,1001.83,1160.58,940.52,1416.77,781.77,13.71,43.75,35.21,1039.15,1054.65,0.8,-5.24,0
Nifty 90's,31-07-1998,941.6,1015.55,895.85,931.4,964.9,1211.85,829.8,1076.75,717.95,1458.8,471,13.54,43.25,20.12,1003.23,1042.91,0.8,-12.22,0
Nifty 90's,31-08-1998,930.8,930.8,830.15,852.8,947.6,1067.3,879.65,999.35,827.9,1187,708.2,13.87,39.56,10.91,953.09,1024.81,0.69,-21.01,0
Nifty 90's,30-09-1998,852.75,945.25,832.05,904.95,871.25,971.9,811.7,912.35,770.6,1072.55,669.95,14.02,43.04,15.61,937.04,1013.39,0.72,-22.08,0
Nifty 90's,31-10-1998,904.75,904.75,803.3,824,894.08,1007.28,842.92,956.12,780.88,1120.48,667.68,14.39,39.26,19.04,899.36,995.36,0.68,-26.7,0
Nifty 90's,30-11-1998,824.2,882.1,800.1,817.75,844.02,945.47,783.28,884.73,742.57,1046.92,641.12,14.75,38.98,15.58,872.16,978.44,0.67,-28.47,0
Nifty 90's,31-12-1998,816.55,903.85,812.25,884.25,833.32,915.32,784.53,866.53,751.32,997.32,669.32,14.82,43.65,22.64,876.19,969.47,0.73,-23.66,1
Nifty 90's,29-01-1999,886.75,1016.3,882.6,966.2,866.78,958.38,829.72,921.32,775.18,1049.98,683.58,13.87,48.85,42.57,906.19,969.16,1.03,-13.93,1
Nifty 90's,27-02-1999,962.4,989.15,907.45,981.3,955.03,1088.73,893.77,1027.47,821.33,1222.43,687.63,12.97,49.77,67.65,931.23,970.31,1.03,-5.87,1
Nifty 90's,31-03-1999,992.45,1099.8,984.45,1078.05,959.3,1041,929.45,1011.15,877.6,1122.7,795.9,13.17,55.31,91.04,980.17,980.58,1.37,5.95,1
Nifty 90's,30-04-1999,1082.55,1084.05,916,978.2,1054.1,1169.45,1008.4,1123.75,938.75,1284.8,823.4,12.62,49.27,77.47,979.51,980.35,1.12,6.95,0
Nifty 90's,31-05-1999,979.8,1201.3,968.25,1132.3,992.75,1160.8,901.45,1069.5,824.7,1328.85,656.65,13.05,57.07,88.47,1030.44,994.82,1.46,17.3,1
Nifty 90's,30-06-1999,1125.55,1228.55,1099.85,1187.7,1100.62,1333.67,999.93,1232.98,867.57,1566.72,634.52,13.65,59.48,84.74,1082.86,1013.19,1.55,26.63,1
Nifty 90's,30-07-1999,1187.85,1367.95,1179.3,1310.15,1172.03,1300.73,1115.52,1244.22,1043.33,1429.43,914.63,15.08,64.26,106.26,1158.62,1041.47,2.02,39.05,1
Nifty 90's,31-08-1999,1309.85,1435.5,1277.85,1412,1285.8,1474.45,1203.65,1392.3,1097.15,1663.1,908.5,16.77,67.67,115.77,1243.08,1076.76,2.27,51.36,1
Nifty 90's,30-09-1999,1412.05,1432.55,1329.7,1413.1,1375.12,1532.77,1314.73,1472.38,1217.47,1690.42,1059.82,18.34,67.71,115.17,1299.76,1108.79,2.27,56.4,1
Nifty 90's,29-10-1999,1414.65,1522.85,1296.7,1325.45,1391.78,1494.63,1351.02,1453.87,1288.93,1597.48,1186.08,20.26,61.82,93.19,1308.32,1129.43,2.65,50.83,1
Nifty 90's,30-11-1999,1325.9,1418.15,1239.8,1376.15,1381.67,1607.82,1240.48,1466.63,1155.52,1833.97,929.37,21.35,63.78,85.81,1330.93,1152.92,2.1,47.62,0
Nifty 90's,30-12-1999,1375.05,1510.85,1374.7,1480.45,1344.7,1523.05,1271.25,1449.6,1166.35,1701.4,988,22.84,67.48,80.35,1380.77,1184.12,2.46,49.36,0
Nifty 90's,31-01-2000,1482.15,1671.15,1482.15,1546.2,1455.33,1591.48,1399.82,1535.97,1319.18,1727.63,1183.03,24.9,69.59,98.92,1435.91,1218.6,3.14,51.54,1
Nifty 90's,29-02-2000,1546.2,1818.15,1521.4,1654.8,1566.5,1755.5,1461.85,1650.85,1377.5,1944.5,1188.5,27.29,72.74,102.73,1508.88,1260.14,3.8,56.51,1
Nifty 90's,31-03-2000,1661.5,1773.85,1489.1,1528.45,1664.78,1961.53,1511.42,1808.17,1368.03,2258.28,1071.28,29.15,64.39,82.52,1515.4,1285.7,3.29,47.83,0
Nifty 90's,28-04-2000,1528.7,1636.95,1311.3,1406.55,1597.13,1881.88,1420.42,1705.17,1312.38,2166.63,1027.63,29.14,57.53,52.88,1479.12,1297.21,1.82,31.24,0
Nifty 90's,31-05-2000,1410,1436.6,1201.5,1380.45,1451.6,1777.25,1266.25,1591.9,1125.95,2102.9,800.3,28.26,56.15,27.06,1446.23,1305.13,1.4,16.59,0
Nifty 90's,30-06-2000,1380.4,1539.1,1345.1,1471.45,1339.52,1574.62,1242.43,1477.53,1104.42,1809.72,869.32,27.96,59.77,31.23,1454.64,1320.97,1.63,11.37,0
Nifty 90's,31-07-2000,1473.45,1564.75,1269.25,1332.85,1451.88,1645.88,1364.67,1558.67,1257.88,1839.88,1063.88,27.1,52.64,29.01,1414.04,1322.11,1.38,-2.35,0
Nifty 90's,31-08-2000,1332.85,1398.9,1295.45,1394.1,1388.95,1684.45,1213.15,1508.65,1093.45,1979.95,797.95,26.3,55.19,35.19,1407.39,1328.96,1.38,-7.92,0
Nifty 90's,29-09-2000,1395.95,1482,1249.35,1271.65,1362.82,1466.27,1326.73,1430.18,1259.37,1569.72,1155.92,26.02,49.46,16.53,1362.15,1323.5,1.58,-19.79,0
Nifty 90's,31-10-2000,1270.75,1306.45,1108.2,1172.75,1334.33,1566.98,1186.67,1419.32,1101.68,1799.63,869.03,24.69,45.37,6.39,1299.01,1309.15,1.16,-33.45,0
Nifty 90's,30-11-2000,1178.25,1281,1177.1,1268.15,1195.8,1394.05,1085.15,1283.4,997.55,1592.3,799.3,23.45,49.7,7.07,1288.73,1305.24,1.16,-35.02,0
Nifty 90's,29-12-2000,1268.1,1369.5,1207.95,1263.55,1242.08,1345.98,1203.17,1307.07,1138.18,1449.88,1034.28,22.85,49.49,20.68,1280.33,1301.27,1.35,-35.25,1
Nifty 90's,31-01-2001,1263.5,1396.05,1248.55,1371.7,1280.33,1441.88,1191.17,1352.72,1118.78,1603.43,957.23,22.44,54.23,49.16,1310.79,1307.98,1.41,-27.34,1
Nifty 90's,28-02-2001,1371.5,1422.95,1281.9,1351.4,1338.77,1486.27,1281.48,1428.98,1191.27,1633.77,1043.77,22.22,53.22,55,1324.33,1312.11,1.48,-22.89,1
Nifty 90's,30-03-2001,1351.75,1399.55,1098.75,1148.2,1352.08,1493.13,1281.22,1422.27,1211.03,1634.18,1069.98,20.67,44.32,35.52,1265.62,1296.5,0.99,-32.45,0
Nifty 90's,30-04-2001,1148.1,1171.85,1000.1,1125.25,1215.5,1516.3,1031.45,1332.25,914.7,1817.1,613.9,19.86,43.44,25.69,1218.83,1280.19,0.83,-38.72,0
Nifty 90's,31-05-2001,1125.45,1207,1096.25,1167.9,1099.07,1270.82,1026.28,1198.03,927.32,1442.57,755.57,18.85,45.61,17.39,1201.85,1269.5,0.89,-38.32,0
Nifty 90's,29-06-2001,1168.1,1175.8,1060.05,1107.9,1157.05,1267.8,1107.1,1217.85,1046.3,1378.55,935.55,18.15,43.11,21.62,1170.53,1254.11,0.83,-40.23,0
Nifty 90's,31-07-2001,1108.35,1127.15,1046.9,1072.85,1114.58,1230.33,1053.37,1169.12,998.83,1346.08,883.08,17.59,41.67,24.18,1137.97,1236.85,0.81,-41.8,0
Nifty 90's,31-08-2001,1073,1084,1051.75,1053.75,1082.3,1162.55,1037.45,1117.7,1002.05,1242.8,921.8,17.07,40.86,12.37,1109.9,1219.41,0.81,-41.96,0
Nifty 90's,28-09-2001,1054.65,1059.9,849.95,913.85,1063.17,1095.42,1042.33,1074.58,1030.92,1127.67,998.67,17.83,35.48,0.77,1044.55,1190.31,0.57,-48.84,0
Nifty 90's,31-10-2001,914.65,1000.95,884.65,971.9,941.23,1151.18,822.57,1032.52,731.28,1361.13,521.33,18.53,39.07,3.69,1020.33,1169.51,0.57,-46.84,0
Nifty 90's,29-11-2001,973.55,1097.6,973.55,1067.15,952.5,1068.8,904.05,1020.35,836.2,1185.1,719.9,18.3,44.52,24.36,1035.94,1159.76,0.74,-36.88,1
Nifty 90's,31-12-2001,1067.2,1132.65,1010.45,1059.05,1046.1,1170.15,994.6,1118.65,922.05,1294.2,798,17.78,44.16,49.7,1043.64,1150.17,0.8,-28.98,1
Nifty 90's,31-01-2002,1058.85,1121.75,1052.05,1075.4,1067.38,1189.58,1002.12,1124.32,945.18,1311.78,822.98,17.3,45.12,61.56,1054.23,1143.05,0.8,-21.15,1
Nifty 90's,28-02-2002,1076.95,1205.95,1069.4,1142.05,1083.07,1152.77,1044.38,1114.08,1013.37,1222.47,943.67,16.12,49.01,69.67,1083.5,1142.95,0.98,-10.51,1
Nifty 90's,28-03-2002,1142.05,1201.1,1117.85,1129.55,1139.13,1275.68,1072.32,1208.87,1002.58,1412.23,866.03,15.02,48.32,75.93,1098.85,1141.68,0.98,-3.71,1
Nifty 90's,30-04-2002,1129.85,1153.3,1073.3,1084.5,1149.5,1232.75,1097.9,1181.15,1066.25,1316,983,14.39,45.81,68.68,1094.07,1136.23,0.89,-1.73,0
Nifty 90's,31-05-2002,1084.8,1136.55,1020.1,1028.8,1103.7,1183.7,1054.1,1134.1,1023.7,1263.7,943.7,14.23,42.85,48.79,1072.31,1126,0.78,-3.56,0
Nifty 90's,28-06-2002,1029.25,1102.05,1029.25,1057.8,1061.82,1178.27,987.08,1103.53,945.37,1294.72,828.92,14.08,44.85,47.35,1067.47,1119.5,0.78,-2.26,0
Nifty 90's,31-07-2002,1058,1087.4,943.6,958.9,1063.03,1135.83,1024.02,1096.82,990.23,1208.63,917.43,14.62,39.75,30.52,1031.28,1104.21,0.64,-7.23,0
Nifty 90's,30-08-2002,959.2,1012.75,935.55,1010.6,996.63,1140.43,905.87,1049.67,852.83,1284.23,709.03,15.18,43.37,34.69,1024.39,1095.29,0.63,-6.23,0
Nifty 90's,30-09-2002,1010.9,1024.65,960.2,963.15,986.3,1063.5,959.85,1037.05,909.1,1140.7,831.9,15.56,40.94,28.31,1003.98,1082.71,0.66,-7.87,0
Nifty 90's,31-10-2002,961.15,983.6,920.1,951.4,982.67,1047.12,940.68,1005.13,918.22,1111.57,853.77,16.23,40.33,29.52,986.45,1070.2,0.6,-8.77,0
Nifty 90's,29-11-2002,951.45,1057.45,946.4,1050.15,951.7,1015.2,919.8,983.3,888.2,1078.7,824.7,15.94,47.36,40.64,1007.68,1068.29,0.78,-2.1,1
Nifty 90's,31-12-2002,1050.15,1103.95,1034.1,1093.5,1018,1129.05,978.55,1089.6,906.95,1240.1,795.9,15.15,50.14,59.25,1036.29,1070.69,0.91,5.45,1
Nifty 90's,31-01-2003,1093.6,1105.6,1026.2,1041.85,1077.18,1147.03,1050.42,1120.27,1007.33,1216.88,937.48,14.49,46.96,66.5,1038.14,1067.95,0.89,7.07,1
Nifty 90's,28-02-2003,1040.25,1075.5,1034.1,1063.4,1057.88,1137.28,1010.17,1089.57,978.48,1216.68,899.08,13.89,48.43,68.26,1046.56,1067.51,0.89,9.55,1
Nifty 90's,31-03-2003,1063.55,1070.85,974.1,978.2,1057.67,1099.07,1039.83,1081.23,1016.27,1140.47,974.87,13.95,43.32,45.66,1023.77,1059.01,0.74,5.6,0
Nifty 90's,30-04-2003,977.4,1033.45,920,934.05,1007.72,1104.47,944.58,1041.33,910.97,1201.22,814.22,14.52,40.91,38.3,993.87,1047.11,0.64,0.43,0
